"","AHEC.region","available_volunteer","percent_available","volunteered","percent_volunteered","Vaccinated_count","Vaccinated.percent","percent_NP","percent_RN","percent_LPN","percent_NAII","percent_Other","percent_retired","ratio_active"
"1","Area L AHEC",45,0.000843771094277357,2,0.0444444444444444,23990,0.44982374559364,0.0444444444444444,0.933333333333333,0.155555555555556,0,0.111111111111111,0.0444444444444444,0.982142857142857
"2","Charlotte AHEC",908,0.000580600896350591,18,0.0198237885462555,963251,0.615929949350884,0.0859030837004405,0.767621145374449,0.0495594713656388,0,0.0958149779735683,0.052863436123348,0.959095801937567
"3","Eastern AHEC",368,0.000728267258251882,15,0.0407608695652174,289977,0.573860746592679,0.114130434782609,0.782608695652174,0.114130434782609,0,0.138586956521739,0.108695652173913,0.956818181818182
"4","Greensboro AHEC",1306,0.00122378261272903,30,0.0229709035222052,643827,0.60329577963667,0.130168453292496,0.692955589586524,0.054364471669219,0.000765696784073507,0.108728943338438,0.0689127105666156,0.957163958641064
"5","Mountain AHEC",385,0.00101954075647276,18,0.0467532467532468,236213,0.625529300542078,0.0909090909090909,0.838961038961039,0.0441558441558442,0,0.0987012987012987,0.0727272727272727,0.967741935483871
"6","Northwest AHEC",673,0.000820482560783372,16,0.0237741456166419,446979,0.54493086855333,0.101040118870728,0.797919762258544,0.0936106983655275,0,0.0980683506686478,0.050520059435364,0.96551724137931
"7","South East AHEC",376,0.00107094741819073,4,0.0106382978723404,230097,0.655377095966573,0.109042553191489,0.704787234042553,0.0372340425531915,0,0.117021276595745,0.101063829787234,0.921518987341772
"8","Southern Regional AHEC",246,0.000412447878156861,5,0.0203252032520325,321874,0.539659546072608,0.105691056910569,0.796747967479675,0.150406504065041,0.0040650406504065,0.0853658536585366,0.0813008130081301,0.95578231292517
"9","Wake AHEC",2109,0.00117990898644196,50,0.0237079184447605,1247856,0.698130160353492,0.105263157894737,0.74158368895211,0.051683262209578,0.00142247510668563,0.0886676149834045,0.0507349454717876,0.959759481961147
